GENE	CHROM	POS	TotalDepth	Normalized_Depth
MTOR	chr1	11108265	1880	1.069601768
MTOR	chr1	11112886	2261	1.286366807
MTOR	chr1	11112887	2265	1.288642555
MTOR	chr1	11112916	1954	1.111703114
MTOR	chr1	11112918	1937	1.102031183
MTOR	chr1	11114370	2449	1.393326984
MTOR	chr1	11114418	2155	1.226059473
MTOR	chr1	11114436	1992	1.133322724
MTOR	chr1	11114440	1967	1.119099296
MTOR	chr1	11114820	1532	0.871611653
MTOR	chr1	11114876	1657	0.942728792
MTOR	chr1	11115416	1547	0.88014571
MTOR	chr1	11117076	1318	0.749859112
MTOR	chr1	11121288	1740	0.989950572
MTOR	chr1	11121292	1779	1.01213912
MTOR	chr1	11121341	1828	1.040017038
MTOR	chr1	11121992	1121	0.637778501
MTOR	chr1	11122063	1707	0.971175648
MTOR	chr1	11122075	1686	0.959227968
MTOR	chr1	11122113	1340	0.762375728
MTOR	chr1	11122123	1233	0.701499457
MTOR	chr1	11122126	1162	0.661104922
MTOR	chr1	11124526	1701	0.967762025
MTOR	chr1	11124614	2053	1.168027888
MTOR	chr1	11126632	1742	0.991088446
MTOR	chr1	11126668	2239	1.27385019
MTOR	chr1	11126674	2273	1.293194052
MTOR	chr1	11127040	1890	1.075291139
MTOR	chr1	11127087	2031	1.155511271
MTOR	chr1	11127119	1707	0.971175648
MTOR	chr1	11127691	1919	1.091790315
MTOR	chr1	11127702	2100	1.194767932
MTOR	chr1	11127702	2100	1.194767932
MTOR	chr1	11127718	2234	1.271005505
MTOR	chr1	11127720	2374	1.3506567
MTOR	chr1	11127759	2683	1.526458267
MTOR	chr1	11128125	2098	1.193630058
MTOR	chr1	11128478	2467	1.403567852
MTOR	chr1	11128884	2220	1.263040385
MTOR	chr1	11128910	2292	1.304003857
MTOR	chr1	11129759	1658	0.943297729
MTOR	chr1	11129767	1780	1.012708057
MTOR	chr1	11130614	2259	1.285228933
MTOR	chr1	11130616	2260	1.28579787
MTOR	chr1	11130640	2169	1.234024593
MTOR	chr1	11130674	1932	1.099186497
MTOR	chr1	11130732	1539	0.875594213
MTOR	chr1	11130754	1433	0.815286879
MTOR	chr1	11130766	1418	0.806752823
MTOR	chr1	11133085	1876	1.067326019
MTOR	chr1	11133101	2091	1.189647498
MTOR	chr1	11133146	2131	1.212404982
MTOR	chr1	11134351	1685	0.958659031
MTOR	chr1	11134368	2030	1.154942334
MTOR	chr1	11134370	2093	1.190785372
MTOR	chr1	11134409	2445	1.391051235
MTOR	chr1	11134434	2250	1.280108499
MTOR	chr1	11134436	2183	1.241989712
MTOR	chr1	11139304	1532	0.871611653
MTOR	chr1	11139540	1511	0.859663974
MTOR	chr1	11139543	1498	0.852267792
MTOR	chr1	11139551	1574	0.895507012
MTOR	chr1	11139562	1648	0.937608358
MTOR	chr1	11139593	1883	1.071308579
MTOR	chr1	11139643	1588	0.903472131
MTOR	chr1	11144658	1570	0.893231263
MTOR	chr1	11144709	1976	1.12421973
MTOR	chr1	11144738	2155	1.226059473
MTOR	chr1	11144741	2128	1.210698171
MTOR	chr1	11145001	2144	1.219801165
MTOR	chr1	11145043	1860	1.058223026
MTOR	chr1	11146722	2441	1.388775487
MTOR	chr1	11146757	2403	1.367155876
MTOR	chr1	11150143	2059	1.17144151
MTOR	chr1	11157165	2335	1.328468153
MTOR	chr1	11157168	2387	1.358052883
MTOR	chr1	11157193	2493	1.418360216
MTOR	chr1	11157273	1809	1.029207233
MTOR	chr1	11157273	1811	1.030345107
MTOR	chr1	11157286	1606	0.913712999
MTOR	chr1	11167489	1985	1.129340164
MTOR	chr1	11167499	1973	1.122512919
MTOR	chr1	11167501	1969	1.120237171
MTOR	chr1	11199290	2249	1.279539561
MTOR	chr1	11199400	1795	1.021242113
MTOR	chr1	11204585	1322	0.75213486
MTOR	chr1	11204614	1622	0.922815993
MTOR	chr1	11204656	1961	1.115685674
MTOR	chr1	11209318	1595	0.907454691
MTOR	chr1	11209335	1757	0.999622503
MTOR	chr1	11209353	1901	1.081549447
MTOR	chr1	11209409	2265	1.288642555
MTOR	chr1	11209409	2265	1.288642555
MTOR	chr1	11209437	1927	1.096341812
MTOR	chr1	11209459	1545	0.879007836
MTOR	chr1	11212326	2067	1.175993007
MTOR	chr1	11212345	2148	1.222076913
MTOR	chr1	11212445	1851	1.053102592
MTOR	chr1	11213482	2287	1.301159172
MTOR	chr1	11213493	2241	1.274988065
MTOR	chr1	11213566	2064	1.174286196
MTOR	chr1	11216219	1916	1.090083504
MTOR	chr1	11216229	1723	0.980278641
MTOR	chr1	11228685	2005	1.140718907
MTOR	chr1	11228701	2401	1.366018002
MTOR	chr1	11228809	2741	1.55945662
MTOR	chr1	11231039	2447	1.392189109
MTOR	chr1	11231049	2376	1.351794575
MTOR	chr1	11231423	1821	1.036034478
MTOR	chr1	11231426	1804	1.026362547
MTOR	chr1	11231436	1681	0.956383283
MTOR	chr1	11232480	1630	0.92736749
MTOR	chr1	11232488	1670	0.950124975
MTOR	chr1	11234210	2032	1.156080209
MTOR	chr1	11237840	1553	0.883559333
MTOR	chr1	11237860	1838	1.045706409
MTOR	chr1	11237924	2209	1.256782077
MTOR	chr1	11237927	2404	1.367724814
MTOR	chr1	11237998	2535	1.442255575
MTOR	chr1	11237998	2535	1.442255575
MTOR	chr1	11238023	2580	1.467857745
MTOR	chr1	11238038	2472	1.406412537
MTOR	chr1	11238594	1889	1.074722202
MTOR	chr1	11240320	1967	1.119099296
MTOR	chr1	11240357	2388	1.35862182
MTOR	chr1	11240358	2391	1.360328631
MTOR	chr1	11240377	2582	1.468995619
MTOR	chr1	11240410	2468	1.404136789
MTOR	chr1	11240424	2517	1.432014707
MTOR	chr1	11240501	2606	1.48265011
MTOR	chr1	11240529	2371	1.348949889
MTOR	chr1	11240548	2264	1.288073618
MTOR	chr1	11241589	1656	0.942159855
MTOR	chr1	11241612	1735	0.987105887
MTOR	chr1	11241657	1245	0.708326703
MTOR	chr1	11243139	2200	1.251661643
MTOR	chr1	11243163	2352	1.338140084
MTOR	chr1	11243166	2336	1.32903709
MTOR	chr1	11243258	2167	1.232886718
MTOR	chr1	11247685	2364	1.344967329
MTOR	chr1	11247851	2044	1.162907454
MTOR	chr1	11247864	2090	1.189078561
MTOR	chr1	11247874	2063	1.173717259
MTOR	chr1	11247898	2109	1.199888366
MTOR	chr1	11247938	2030	1.154942334
MTOR	chr1	11248094	1720	0.97857183
MTOR	chr1	11248095	1681	0.956383283
MTOR	chr1	11253854	1740	0.989950572
MTOR	chr1	11253866	1800	1.024086799
MTOR	chr1	11253870	1825	1.038310227
MTOR	chr1	11253875	1850	1.052533654
MTOR	chr1	11253974	1628	0.926229616
MTOR	chr1	11255998	1107	0.629813381
MTOR	chr1	11256008	1227	0.698085835
MTOR	chr1	11256158	1944	1.106013743
MTOR	chr1	11256932	1128	0.641761061
MTOR	chr1	11256960	1466	0.834061804
MTOR	chr1	11256979	1581	0.899489572
MTOR	chr1	11257025	1523	0.866491219
MTOR	chr1	11257165	1643	0.934763673
MTOR	chr1	11258507	1386	0.788546835
MTOR	chr1	11258523	1559	0.886972955
MTOR	chr1	11258539	1735	0.987105887
MTOR	chr1	11259250	1042	0.592832469
MTOR	chr1	11259313	2098	1.193630058
MTOR	chr1	11259334	2427	1.380810367
MTOR	chr1	11259386	2148	1.222076913
ARID1A	chr1	26696586	60	0.034136227
ARID1A	chr1	26696649	67	0.038118786
ARID1A	chr1	26696711	78	0.044377095
ARID1A	chr1	26696782	61	0.034705164
ARID1A	chr1	26696805	48	0.027308981
ARID1A	chr1	26696959	151	0.085909504
ARID1A	chr1	26697026	208	0.118338919
ARID1A	chr1	26697033	199	0.113218485
ARID1A	chr1	26697054	176	0.100132931
ARID1A	chr1	26697061	157	0.089323126
ARID1A	chr1	26697329	78	0.044377095
ARID1A	chr1	26697422	113	0.064289893
ARID1A	chr1	26697516	52	0.02958473
ARID1A	chr1	26729750	1912	1.087807755
ARID1A	chr1	26729771	1840	1.046844283
ARID1A	chr1	26729785	1937	1.102031183
ARID1A	chr1	26729816	1872	1.065050271
ARID1A	chr1	26731181	1235	0.702637331
ARID1A	chr1	26731271	1426	0.81130432
ARID1A	chr1	26731356	908	0.516594896
ARID1A	chr1	26731404	607	0.345344826
ARID1A	chr1	26731408	560	0.318604782
ARID1A	chr1	26731509	848	0.48245867
ARID1A	chr1	26732730	1731	0.984830138
ARID1A	chr1	26732751	1705	0.970037773
ARID1A	chr1	26760896	1620	0.921678119
ARID1A	chr1	26760942	1860	1.058223026
ARID1A	chr1	26761026	1635	0.930212176
ARID1A	chr1	26761037	1514	0.861370785
ARID1A	chr1	26761401	1580	0.898920635
ARID1A	chr1	26761453	1486	0.845440546
ARID1A	chr1	26762186	782	0.44490882
ARID1A	chr1	26762190	826	0.469942053
ARID1A	chr1	26762191	853	0.485303355
ARID1A	chr1	26762193	935	0.531956198
ARID1A	chr1	26762261	1265	0.719705445
ARID1A	chr1	26763010	1619	0.921109182
ARID1A	chr1	26763045	1855	1.05537834
ARID1A	chr1	26763057	1901	1.081549447
ARID1A	chr1	26763064	1882	1.070739642
ARID1A	chr1	26763149	1650	0.938746232
ARID1A	chr1	26766253	1657	0.942728792
ARID1A	chr1	26766364	1500	0.853405666
ARID1A	chr1	26766496	1730	0.984261201
ARID1A	chr1	26767826	1675	0.95296966
ARID1A	chr1	26767846	1898	1.079842636
ARID1A	chr1	26767848	1909	1.086100944
ARID1A	chr1	26767938	1717	0.976865019
ARID1A	chr1	26767939	1706	0.97060671
ARID1A	chr1	26767998	1270	0.72255013
ARID1A	chr1	26771178	1480	0.842026924
ARID1A	chr1	26771279	1294	0.736204621
ARID1A	chr1	26771310	1067	0.607055897
ARID1A	chr1	26771311	1066	0.60648696
ARID1A	chr1	26772557	1882	1.070739642
ARID1A	chr1	26772633	1569	0.892662326
ARID1A	chr1	26772968	1877	1.067894956
ARID1A	chr1	26773392	1682	0.95695222
ARID1A	chr1	26773485	1806	1.027500422
ARID1A	chr1	26773582	1540	0.87616315
ARID1A	chr1	26773597	1597	0.908592565
ARID1A	chr1	26773690	1654	0.941021981
ARID1A	chr1	26773694	1631	0.927936427
ARID1A	chr1	26773827	1322	0.75213486
ARID1A	chr1	26773838	1388	0.789684709
ARID1A	chr1	26773862	1464	0.83292393
ARID1A	chr1	26774352	1024	0.582591601
ARID1A	chr1	26774361	1103	0.627537633
ARID1A	chr1	26774416	1290	0.733928873
ARID1A	chr1	26774417	1287	0.732222061
ARID1A	chr1	26774425	1317	0.749290175
ARID1A	chr1	26774459	1254	0.713447137
ARID1A	chr1	26774560	1525	0.867629093
ARID1A	chr1	26774563	1520	0.864784408
ARID1A	chr1	26774655	1598	0.909161503
ARID1A	chr1	26774759	1789	1.017828491
ARID1A	chr1	26774790	1748	0.994502069
ARID1A	chr1	26775144	1585	0.90176532
ARID1A	chr1	26775201	1322	0.75213486
ARID1A	chr1	26775593	1586	0.902334257
ARID1A	chr1	26775628	1869	1.063343459
ARID1A	chr1	26775687	1787	1.016690616
ARID1A	chr1	26779025	1406	0.799925577
ARID1A	chr1	26779067	1739	0.989381635
ARID1A	chr1	26779110	1803	1.02579361
ARID1A	chr1	26779184	1862	1.0593609
ARID1A	chr1	26779242	1745	0.992795258
ARID1A	chr1	26779270	1673	0.951831786
ARID1A	chr1	26779287	1693	0.963210528
ARID1A	chr1	26779305	1609	0.915419811
ARID1A	chr1	26779476	1801	1.024655736
ARID1A	chr1	26779497	1789	1.017828491
ARID1A	chr1	26779587	1690	0.961503717
ARID1A	chr1	26779628	1699	0.966624151
ARID1A	chr1	26779729	1913	1.088376692
ARID1A	chr1	26780001	2112	1.201595177
ARID1A	chr1	26780004	2048	1.165183202
ARID1A	chr1	26780129	1234	0.702068394
ARID1A	chr1	26780142	1273	0.724256942
ARID1A	chr1	26780152	1277	0.72653269
ARID1A	chr1	26780205	1167	0.663949608
ARID1A	chr1	26780233	1209	0.687844967
ARID1A	chr1	26780236	1219	0.693534338
ARID1A	chr1	26780279	1359	0.773185533
ARID1A	chr1	26780287	1286	0.731653124
ARID1A	chr1	26780312	1333	0.758393168
ARID1A	chr1	26780324	1429	0.813011131
ARID1A	chr1	26780332	1499	0.852836729
ARID1A	chr1	26780344	1537	0.874456339
ARID1A	chr1	26780387	1510	0.859095037
ARID1A	chr1	26780445	1360	0.77375447
ARID1A	chr1	26780559	1865	1.061067711
ARID1A	chr1	26780693	1597	0.908592565
ARID1A	chr1	26780699	1553	0.883559333
MPL	chr1	43337864	1294	0.736204621
MPL	chr1	43337873	1379	0.784564275
MPL	chr1	43338195	1829	1.040585975
MPL	chr1	43338709	1039	0.591125658
MPL	chr1	43339272	1087	0.618434639
MPL	chr1	43339281	1172	0.666794293
MPL	chr1	43339290	1331	0.757255294
MPL	chr1	43339301	1439	0.818700502
